timestamp,f1,f2,t1,h1,t2,h2,t3,h4,af,t4,wm,t5,h3
1593601494.8051107,1.00,1.00,22.90,63.00,24.50,70.00,25.40,63.00,3.50,49.26,120.00,25.32,168.22
1593601496.9436004,1.00,1.00,22.90,63.00,24.50,69.00,25.40,62.00,3.50,49.26,0.00,24.41,168.22
1593601499.0858033,1.00,1.00,22.80,63.00,24.50,69.00,25.40,62.00,3.01,50.03,120.00,24.71,169.06
1593601501.2317626,1.00,1.00,22.80,64.00,24.50,69.00,25.30,62.00,2.88,50.03,120.00,24.71,169.06
1593601503.3737137,1.00,1.00,22.80,64.00,24.50,69.00,25.40,61.00,3.13,50.03,120.00,24.71,169.06
1593601505.5158722,1.00,1.00,22.80,64.00,24.50,68.00,25.40,61.00,2.96,50.82,120.00,24.71,169.06
1593601507.6583676,1.00,1.00,22.80,64.00,24.60,68.00,25.40,61.00,3.04,50.82,120.00,25.32,169.06
1593601509.7996287,1.00,1.00,22.80,64.00,24.60,68.00,25.40,61.00,3.40,51.63,120.00,24.71,169.06
1593601511.9418075,1.00,1.00,22.70,64.00,24.60,68.00,25.40,61.00,3.22,51.63,120.00,25.01,169.06
1593601514.0846062,1.00,1.00,22.70,64.00,24.60,68.00,25.40,61.00,3.88,51.63,120.00,25.01,169.06
1593601516.2266874,1.00,1.00,22.70,64.00,24.60,68.00,25.40,61.00,2.88,52.47,120.00,25.64,169.06
1593601518.3682837,1.00,1.00,22.70,64.00,24.60,68.00,25.30,61.00,2.88,52.47,120.00,25.32,169.06
1593601520.510277,1.00,1.00,22.60,64.00,24.60,68.00,25.30,61.00,3.22,53.33,120.00,25.95,169.90
1593601522.6530452,1.00,1.00,22.70,64.00,24.60,68.00,25.30,61.00,2.96,53.33,120.00,26.27,169.90
1593601524.7943642,1.00,1.00,22.60,64.00,24.60,68.00,25.30,61.00,3.09,198.87,120.00,26.27,171.59
1593601526.936434,1.00,1.00,22.60,64.00,24.60,68.00,25.30,61.00,3.22,55.14,0.00,26.59,169.90
1593601529.0784273,1.00,1.00,22.60,64.00,24.60,68.00,25.30,61.00,2.76,55.14,120.00,26.27,169.90
1593601531.2209206,1.00,1.00,22.60,64.00,24.60,68.00,25.30,61.00,3.18,56.10,120.00,26.92,169.90
1593601533.3630896,1.00,1.00,22.60,64.00,24.60,68.00,25.30,61.00,3.36,56.10,120.00,27.59,169.90
