timestamp,f1,f2,t1,h1,t2,h2,t3,h4,af,t4,wm,t5,h3,datetime
1593609601172,1.00,1.00,23.60,61.00,25.80,82.00,25.80,78.00,1.90,47.79,120.00,28.98,153.86,2020-07-01T14:20:01.172089
1593609603307,1.00,1.00,23.50,60.00,25.80,81.00,25.80,77.00,1.81,48.52,0.00,28.27,153.02,2020-07-01T14:20:03.307505
1593609605452,1.00,1.00,23.50,60.00,25.80,80.00,25.80,76.00,1.84,49.26,120.00,28.27,153.86,2020-07-01T14:20:05.452855
1593609607599,1.00,1.00,23.40,60.00,25.80,80.00,25.80,75.00,1.72,49.26,120.00,28.27,153.02,2020-07-01T14:20:07.599422
1593609609738,1.00,1.00,23.40,60.00,25.80,79.00,25.80,74.00,1.66,49.26,120.00,29.33,153.02,2020-07-01T14:20:09.738205
1593609611880,1.00,1.00,23.40,60.00,25.90,78.00,25.80,74.00,1.72,50.03,120.00,29.33,153.86,2020-07-01T14:20:11.880806
1593609614022,1.00,1.00,23.40,60.00,25.90,78.00,25.80,73.00,1.91,50.03,120.00,28.27,153.86,2020-07-01T14:20:14.022764
1593609616165,1.00,1.00,23.40,60.00,25.80,78.00,25.90,73.00,1.91,50.82,120.00,28.62,153.86,2020-07-01T14:20:16.165077
1593609618307,1.00,1.00,23.40,60.00,25.80,77.00,25.80,73.00,1.78,50.82,120.00,28.62,153.86,2020-07-01T14:20:18.307668
1593609620452,1.00,1.00,23.40,60.00,25.80,77.00,25.80,72.00,1.84,51.63,120.00,28.98,153.86,2020-07-01T14:20:20.452121
1593609622593,1.00,1.00,23.40,60.00,25.80,77.00,25.90,72.00,1.78,52.47,120.00,29.70,153.86,2020-07-01T14:20:22.593120
1593609624734,1.00,1.00,23.40,60.00,25.90,77.00,25.80,72.00,1.84,53.33,120.00,29.33,153.86,2020-07-01T14:20:24.734808
1593609626874,1.00,1.00,23.40,61.00,25.90,76.00,25.80,72.00,1.84,53.33,120.00,30.06,153.86,2020-07-01T14:20:26.874631
1593609629018,1.00,1.00,23.30,60.00,25.90,76.00,25.80,72.00,1.97,54.22,120.00,30.06,153.86,2020-07-01T14:20:29.018950
1593609631160,1.00,1.00,23.30,61.00,25.80,76.00,25.80,72.00,2.07,54.22,120.00,30.44,153.86,2020-07-01T14:20:31.160709
1593609633302,1.00,1.00,23.30,61.00,25.90,76.00,25.80,72.00,1.75,55.14,120.00,30.44,153.86,2020-07-01T14:20:33.302966
1593609635445,1.00,1.00,23.30,61.00,25.90,76.00,25.80,72.00,1.75,56.10,120.00,30.82,153.86,2020-07-01T14:20:35.445062
1593609637587,1.00,1.00,23.30,61.00,25.90,76.00,25.80,72.00,1.94,56.10,120.00,30.06,153.86,2020-07-01T14:20:37.587414
1593609639729,1.00,1.00,23.20,61.00,25.90,76.00,25.80,72.00,1.88,57.09,120.00,30.06,153.86,2020-07-01T14:20:39.729645
1593609641872,1.00,1.00,23.30,61.00,25.90,76.00,25.80,72.00,1.82,57.09,120.00,31.59,153.86,2020-07-01T14:20:41.872498
1593609644018,1.00,1.00,23.20,61.00,25.90,76.00,25.80,72.00,1.88,58.11,120.00,31.98,153.86,2020-07-01T14:20:44.018282
1593609646160,1.00,1.00,23.20,61.00,25.80,76.00,25.80,72.00,1.94,58.11,120.00,31.20,153.86,2020-07-01T14:20:46.160785
1593609648302,1.00,1.00,23.20,61.00,25.90,76.00,25.80,72.00,1.84,59.17,120.00,31.98,153.86,2020-07-01T14:20:48.302625
1593609650444,1.00,1.00,23.20,61.00,25.90,76.00,25.80,72.00,1.75,60.28,120.00,32.79,153.86,2020-07-01T14:20:50.444418
1593609652587,1.00,1.00,23.20,61.00,25.90,76.00,25.80,72.00,1.82,60.28,120.00,33.21,153.86,2020-07-01T14:20:52.587206
1593609654726,1.00,1.00,23.20,61.00,25.80,77.00,25.80,73.00,1.82,61.43,120.00,32.38,154.71,2020-07-01T14:20:54.726190
1593609656871,1.00,1.00,23.20,61.00,25.80,77.00,25.80,73.00,1.82,61.43,120.00,33.63,154.71,2020-07-01T14:20:56.871172
1593609659013,1.00,1.00,23.20,61.00,25.90,77.00,25.80,73.00,1.94,62.63,120.00,33.63,154.71,2020-07-01T14:20:59.013206
1593609661153,1.00,1.00,23.20,61.00,25.90,77.00,25.80,73.00,1.84,62.63,120.00,34.49,154.71,2020-07-01T14:21:01.153509
1593609663296,1.00,1.00,23.20,61.00,25.90,77.00,25.80,74.00,1.88,63.88,120.00,33.63,154.71,2020-07-01T14:21:03.296969
1593609665438,1.00,1.00,23.10,61.00,25.80,77.00,25.80,74.00,1.75,63.88,120.00,34.05,154.71,2020-07-01T14:21:05.438406
1593609667580,1.00,1.00,23.20,61.00,25.90,78.00,25.80,74.00,2.01,63.88,120.00,34.05,154.71,2020-07-01T14:21:07.580837
1593609669722,1.00,1.00,23.10,61.00,25.90,78.00,25.80,74.00,1.94,65.19,120.00,34.49,154.71,2020-07-01T14:21:09.722647
1593609671863,1.00,1.00,23.10,61.00,25.90,78.00,25.80,74.00,1.94,65.19,120.00,34.93,154.71,2020-07-01T14:21:11.863269
1593609674006,1.00,1.00,23.10,61.00,25.90,78.00,25.80,75.00,1.88,66.56,120.00,35.83,154.71,2020-07-01T14:21:14.006208
1593609676149,1.00,1.00,23.10,61.00,25.90,78.00,25.80,75.00,1.82,66.56,120.00,35.37,154.71,2020-07-01T14:21:16.149738
1593609678292,1.00,1.00,23.10,61.00,25.90,79.00,25.80,75.00,1.75,66.56,120.00,35.37,154.71,2020-07-01T14:21:18.292090
1593609680433,1.00,1.00,23.10,61.00,25.90,79.00,25.80,76.00,1.88,68.00,120.00,36.29,154.71,2020-07-01T14:21:20.433096
1593609682575,1.00,1.00,23.10,61.00,25.90,79.00,25.80,76.00,1.88,68.00,120.00,36.77,154.71,2020-07-01T14:21:22.575622
1593609684721,1.00,1.00,23.10,61.00,25.90,79.00,25.80,76.00,1.82,68.00,120.00,35.83,154.71,2020-07-01T14:21:24.721702
1593609686861,1.00,1.00,23.10,61.00,25.90,80.00,25.80,76.00,1.69,68.00,120.00,36.77,154.71,2020-07-01T14:21:26.861445
1593609689006,1.00,1.00,23.10,61.00,25.90,80.00,25.80,76.00,1.75,69.52,120.00,37.73,154.71,2020-07-01T14:21:29.006811
1593609691146,1.00,1.00,23.10,61.00,25.90,80.00,25.80,77.00,1.88,69.52,120.00,37.73,154.71,2020-07-01T14:21:31.146671
1593609693289,1.00,1.00,23.10,62.00,25.90,80.00,25.80,77.00,1.82,69.52,120.00,38.23,154.71,2020-07-01T14:21:33.289825
1593609695432,1.00,1.00,23.10,62.00,25.90,80.00,25.80,77.00,1.91,71.13,120.00,37.25,154.71,2020-07-01T14:21:35.432113
1593609697574,1.00,1.00,23.10,61.00,25.90,81.00,25.80,78.00,1.91,71.13,120.00,38.74,154.71,2020-07-01T14:21:37.574079
1593609699714,1.00,1.00,23.10,61.00,25.90,81.00,25.80,77.00,1.91,71.13,120.00,38.23,154.71,2020-07-01T14:21:39.714742
1593609701859,1.00,1.00,23.10,61.00,25.90,81.00,25.80,78.00,1.91,71.13,120.00,37.73,154.71,2020-07-01T14:21:41.859769
1593609703998,1.00,1.00,23.10,61.00,25.90,81.00,25.80,78.00,1.94,72.83,120.00,39.26,154.71,2020-07-01T14:21:43.998724
1593609706140,1.00,1.00,23.10,61.00,25.90,82.00,25.80,78.00,1.75,72.83,120.00,38.23,154.71,2020-07-01T14:21:46.140949
1593609708288,1.00,1.00,23.10,61.00,25.90,82.00,25.80,79.00,1.69,78.60,120.00,38.74,154.71,2020-07-01T14:21:48.288405
1593609710427,1.00,1.00,23.10,61.00,25.90,82.00,25.80,79.00,1.75,72.83,120.00,38.74,154.71,2020-07-01T14:21:50.427759
1593609712572,1.00,1.00,23.10,61.00,25.90,82.00,25.80,79.00,1.82,74.63,120.00,40.32,154.71,2020-07-01T14:21:52.572243
1593609714714,1.00,1.00,23.10,62.00,25.90,82.00,25.80,79.00,1.82,72.83,120.00,39.26,154.71,2020-07-01T14:21:54.714198
