Humidity_in,Temperature_in,Humidity_out,Temperature_out,Humidity_box,Temperature_box,Wind_Speed,Temperature_towel,Temperature_bed,Humidity_towel_raw
7,22.2,76,27.2,55,24.4,6.98,23.23,83.19,416
6,22.2,80,27.1,55,24.3,6.21,23.23,83.19,416
56,22.2,81,27.2,55,24.4,6.91,23.23,83.19,417
57,22.2,78,27.3,55,24.4,6.63,23.23,85.78,416
57,22.2,71,27.2,55,24.3,6.55,23.23,85.78,417
56,22.2,67,27.3,55,24.4,6.63,23.23,85.78,416
56,22.2,63,27.3,55,24.3,6.55,23.23,85.78,417
57,22.2,59,27.3,55,24.4,6.69,23.23,85.78,417
56,22.2,57,27.3,55,24.4,6.49,23.52,85.78,417
56,22.3,54,27.3,56,24.4,6.41,23.52,85.78,417
56,22.3,52,27.2,56,24.3,6.49,23.52,85.78,418
56,22.3,51,27.2,56,24.4,6.77,23.23,85.78,418
56,22.3,50,27.2,56,24.4,6.77,23.23,88.6,418
56,22.3,49,27.2,56,24.4,6.98,23.23,88.6,418
56,22.3,48,27.1,56,24.4,6.69,23.52,85.78,419
56,22.2,47,27.1,56,24.4,6.63,23.52,88.6,419
56,22.2,47,27,56,24.4,6.77,23.52,88.6,418
56,22.2,46,27,56,24.4,6.63,23.52,91.71,419
57,22.2,46,27,56,24.3,6.65,21.29,121.97,418
56,22.2,46,26.9,56,24.3,7.09,21.29,131.29,418
56,22.2,46,26.8,56,24.3,6.65,21.56,143.87,418
57,22.2,46,26.8,56,24.3,7.15,20.76,131.29,419
57,22.2,45,26.7,56,24.4,6.73,21.56,143.87,419
57,22.2,45,26.7,56,24.3,7.3,21.03,143.87,418
57,22.2,45,26.6,56,24.4,6.94,21.29,131.29,419
57,22.2,45,26.6,56,24.4,7.09,21.56,143.87,419
57,22.2,46,26.6,56,24.3,6.8,21.56,143.87,419
57,22.2,46,26.5,56,24.4,6.73,21.29,131.29,419
57,22.2,46,26.4,56,24.4,7.17,21.56,143.87,419
57,22.2,46,26.4,56,24.4,6.8,21.03,114.62,419
57,22.2,46,26.3,56,24.4,6.51,21.56,143.87,419
57,22.2,46,26.3,56,24.3,7.01,21.29,131.29,418
57,22.3,46,26.2,56,24.4,7.01,21.56,131.29,418
57,22.2,46,26.2,56,24.4,7.14,21.29,121.97,418
57,22.3,46,26.1,56,24.4,6.84,21.29,121.97,418
57,22.4,46,26.1,56,24.3,7.2,21.29,121.97,418
57,22.3,46,26,56,24.4,7.35,21.29,114.62,418
57,22.4,45,25.9,56,24.4,7.14,21.56,121.97,418
57,22.4,45,25.9,56,24.4,6.99,21.29,114.62,418
57,22.4,45,25.9,56,24.4,7.2,21.56,121.97,418
57,22.4,45,25.8,56,24.3,7.2,21.56,108.58,418
57,22.4,45,25.8,56,24.3,7.28,21.56,114.62,418
56,22.4,46,25.7,55,24.3,7.14,21.03,108.58,418
56,22.4,45,25.7,55,24.4,7.52,21.56,114.62,418
56,22.4,46,25.7,55,24.4,7.07,21.29,114.62,418
56,22.4,46,25.6,55,24.4,7.07,21.29,114.62,417
56,22.4,46,25.5,55,24.3,7.14,21.03,108.58,417
56,22.4,46,25.5,55,24.4,7.07,21.29,108.58,417
56,22.4,46,25.5,55,24.3,7.44,21.03,103.47,417
56,22.4,46,25.4,55,24.4,7.5,21.29,103.47,417
56,22.4,46,25.4,55,24.3,7.97,21.29,108.58,417
56,22.4,47,25.4,55,24.3,8.22,21.29,103.47,417
56,22.5,47,25.3,55,24.3,8.06,21.03,99.05,417
56,22.5,47,25.3,54,24.4,7.22,20.76,99.05,417
56,22.5,47,25.3,54,24.4,7.07,21.03,103.47,417
56,22.5,47,25.2,54,24.4,6.45,22.11,131.29,417
56,22.5,47,25.1,54,24.3,6.53,22.38,162.79,419
56,22.5,47,25.2,56,24.4,6.18,21.56,121.97,420
56,22.5,47,25,57,24.4,5.93,21.83,143.87,421
56,22.4,47,25,58,24.3,6.12,21.83,143.87,422
56,22.4,47,25,58,24.4,5.99,21.56,131.29,423
56,22.4,48,25,59,24.4,5.78,21.03,121.97,424
56,22.4,48,25,59,24.3,5.6,21.83,121.97,425
56,22.4,48,24.9,59,24.4,5.47,21.29,114.62,424
